EmployeeId,dt
1,2016-06-12
1,2016-06-13
1,2016-06-14
1,2016-06-15
1,2016-06-16
2,2016-06-12
2,2016-06-13
2,2016-06-14
2,2016-06-15
2,2016-06-16
3,2016-06-12
3,2016-06-13
3,2016-06-14
3,2016-06-15
3,2016-06-16
4,2016-06-12
4,2016-06-13
4,2016-06-14
4,2016-06-15
4,2016-06-16
5,2016-06-12
5,2016-06-13
5,2016-06-14
5,2016-06-15
5,2016-06-16
6,2016-06-12
6,2016-06-13
6,2016-06-14
6,2016-06-15
6,2016-06-16
7,2016-06-12
7,2016-06-13
7,2016-06-14
7,2016-06-15
7,2016-06-16
8,2016-06-12
8,2016-06-13
8,2016-06-14
8,2016-06-15
8,2016-06-16
9,2016-06-12
9,2016-06-13
9,2016-06-14
9,2016-06-15
9,2016-06-16
